Supplier,SKU,Product,Department,Type,Supplier price (net),Our price (net x 3.15),Margin $,From price?,Photo URL
A-Class,2110,2110 — 3-Pc Set,Living Room,Sofas,1300.00,4095.00,2795.00,No,https://www.aclassfurniture.ca/uploads/product_images/so16.jpg
A-Class,2110,2110 — Sofa,Living Room,Sofas,520.00,1638.00,1118.00,No,https://www.aclassfurniture.ca/uploads/product_images/so16.jpg
A-Class,2121,2121,Living Room,Sectionals,1050.00,3308.00,2258.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/21211.jpg
A-Class,2121,2121 — Sofa,Living Room,Sofas,455.00,1433.00,978.00,No,https://www.aclassfurniture.ca/uploads/product_images/21211.jpg
A-Class,2160,2160,Living Room,Sofas,520.00,1638.00,1118.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/so17.jpg
A-Class,2160,2160 — 3-Pc Set,Living Room,Sofas,1300.00,4095.00,2795.00,No,https://www.aclassfurniture.ca/uploads/product_images/so17.jpg
A-Class,2160,2160 — Sofa,Living Room,Sofas,455.00,1433.00,978.00,No,https://www.aclassfurniture.ca/uploads/product_images/so17.jpg
A-Class,2170,2170,Living Room,Sofas,520.00,1638.00,1118.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/2170a.jpg
A-Class,2170,2170 — 3-Pc Set,Living Room,Sofas,1300.00,4095.00,2795.00,No,https://www.aclassfurniture.ca/uploads/product_images/2170a.jpg
A-Class,2170,2170 — Sofa,Living Room,Sofas,520.00,1638.00,1118.00,No,https://www.aclassfurniture.ca/uploads/product_images/2170a.jpg
A-Class,2192,2192,Living Room,Chairs,400.00,1260.00,860.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/2192--a.jpg
A-Class,2192,2192 — Chair,Living Room,Chairs,400.00,1260.00,860.00,No,https://www.aclassfurniture.ca/uploads/product_images/2192--a.jpg
A-Class,2310,2310,Living Room,Sofas,540.00,1701.00,1161.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/2310_(2).jpg
A-Class,2310,2310 — 3-Pc Set,Living Room,Sofas,1350.00,4252.00,2902.00,No,https://www.aclassfurniture.ca/uploads/product_images/2310_(2).jpg
A-Class,2310,2310 — Sofa,Living Room,Sofas,540.00,1701.00,1161.00,No,https://www.aclassfurniture.ca/uploads/product_images/2310_(2).jpg
A-Class,2350,2350,Living Room,Sofas,540.00,1701.00,1161.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/2350.jpg
A-Class,2350,2350 — 3-Pc Set,Living Room,Sofas,1350.00,4252.00,2902.00,No,https://www.aclassfurniture.ca/uploads/product_images/2350.jpg
A-Class,2350,2350 — Sofa,Living Room,Sofas,540.00,1701.00,1161.00,No,https://www.aclassfurniture.ca/uploads/product_images/2350.jpg
A-Class,2380,2380,Living Room,Chaises,500.00,1575.00,1075.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/2380.jpg
A-Class,2380,2380 — Chaise,Living Room,Chaises,500.00,1575.00,1075.00,No,https://www.aclassfurniture.ca/uploads/product_images/2380.jpg
A-Class,2390,2390,Living Room,Chaises,525.00,1654.00,1129.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/2390.jpg
A-Class,2390,2390 — Chaise,Living Room,Chaises,525.00,1654.00,1129.00,No,https://www.aclassfurniture.ca/uploads/product_images/2390.jpg
A-Class,2550,2550,Living Room,Sofas,520.00,1638.00,1118.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/2550_sofa.jpg
A-Class,2550,2550 — Sofa,Living Room,Sofas,520.00,1638.00,1118.00,No,https://www.aclassfurniture.ca/uploads/product_images/2550_sofa.jpg
A-Class,2750,2750,Living Room,Sofas,520.00,1638.00,1118.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/2750AA.jpg
A-Class,2750,2750 — 3-Pc Set,Living Room,Sofas,1300.00,4095.00,2795.00,No,https://www.aclassfurniture.ca/uploads/product_images/2750AA.jpg
A-Class,2750,2750 — Sofa,Living Room,Sofas,520.00,1638.00,1118.00,No,https://www.aclassfurniture.ca/uploads/product_images/2750AA.jpg
A-Class,2760,2760,Living Room,Sofas,520.00,1638.00,1118.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/so27.jpg
A-Class,2760,2760 — 3-Pc Set,Living Room,Sofas,1300.00,4095.00,2795.00,No,https://www.aclassfurniture.ca/uploads/product_images/so27.jpg
A-Class,2760,2760 — Sofa,Living Room,Sofas,520.00,1638.00,1118.00,No,https://www.aclassfurniture.ca/uploads/product_images/so27.jpg
A-Class,2860,2860,Living Room,Sofas,420.00,1323.00,903.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/2860.jpg
A-Class,2860,2860 Sectional,Living Room,Sectionals,420.00,1323.00,903.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/see1.jpg
A-Class,2860,2860 — 3-Pc Set,Living Room,Sofas,1050.00,3308.00,2258.00,No,https://www.aclassfurniture.ca/uploads/product_images/2860.jpg
A-Class,2860,2860 — Sofa,Living Room,Sofas,400.00,1260.00,860.00,No,https://www.aclassfurniture.ca/uploads/product_images/2860.jpg
A-Class,2870,2870,Living Room,Sofas,520.00,1638.00,1118.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/2870.jpg
A-Class,2870,2870 — 3-Pc Set,Living Room,Sofas,1300.00,4095.00,2795.00,No,https://www.aclassfurniture.ca/uploads/product_images/2870.jpg
A-Class,2870,2870 — Sofa,Living Room,Sofas,500.00,1575.00,1075.00,No,https://www.aclassfurniture.ca/uploads/product_images/2870.jpg
A-Class,2900,2900,Living Room,Sofas,640.00,2016.00,1376.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/2900.jpg
A-Class,2900,2900 — 3-Pc Set,Living Room,Sofas,1600.00,5040.00,3440.00,No,https://www.aclassfurniture.ca/uploads/product_images/2900.jpg
A-Class,2900,2900 — Sofa,Living Room,Sofas,640.00,2016.00,1376.00,No,https://www.aclassfurniture.ca/uploads/product_images/2900.jpg
A-Class,2910,2910,Living Room,Sofas,620.00,1953.00,1333.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/2910AA.jpg
A-Class,2910,2910 — 3-Pc Set,Living Room,Sofas,1550.00,4882.00,3332.00,No,https://www.aclassfurniture.ca/uploads/product_images/2910AA.jpg
A-Class,2910,2910 — Sofa,Living Room,Sofas,620.00,1953.00,1333.00,No,https://www.aclassfurniture.ca/uploads/product_images/2910AA.jpg
A-Class,2920,2920,Living Room,Sofas,660.00,2079.00,1419.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/2920-A.jpg
A-Class,2920,2920 — 3-Pc Set,Living Room,Sofas,1650.00,5198.00,3548.00,No,https://www.aclassfurniture.ca/uploads/product_images/2920-A.jpg
A-Class,2920,2920 — Sofa,Living Room,Sofas,660.00,2079.00,1419.00,No,https://www.aclassfurniture.ca/uploads/product_images/2920-A.jpg
A-Class,2929,2929,Living Room,Sectionals,1675.00,5276.00,3601.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/see31.jpg
A-Class,2929,2929 — Sofa,Living Room,Sofas,480.00,1512.00,1032.00,No,https://www.aclassfurniture.ca/uploads/product_images/see31.jpg
A-Class,2933,2933,Living Room,Sectionals,1375.00,4331.00,2956.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/2933-A.jpg
A-Class,2933,2933 — Sofa,Living Room,Sofas,670.00,2110.00,1440.00,No,https://www.aclassfurniture.ca/uploads/product_images/2933-A.jpg
A-Class,2935,2935,Living Room,Sectionals,1100.00,3465.00,2365.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/see23.jpg
